Year,Month,Type,ICEV,HEV,PHEV,HEV & PHEV,BEV,Total xEV,Not Specific,Other,Total
2564,02,Passenger Car and Pickup Truck,68853,3718,636,4354,134,4488,0,0,73341
2564,02,Truck,4469,0,0,0,1,1,0,1270,5740
2564,02,Three Wheeler,6,0,0,0,0,0,0,0,6
2564,02,Mini MPV,1,0,0,0,0,0,0,0,1
2564,02,Bus,444,0,0,0,0,0,0,0,444
2564,03,Truck,5085,0,0,0,0,0,0,1448,6533
2564,03,Three Wheeler,16,0,0,0,3,3,0,0,19
2564,03,Passenger Car and Pickup Truck,80257,3848,755,4603,173,4776,0,0,85033
2564,03,Mini MPV,0,0,0,0,0,0,0,0,0
2564,03,Bus,287,0,0,0,0,0,0,0,287
2564,04,Bus,253,0,0,0,0,0,0,2,255
2564,04,Mini MPV,3,0,0,0,0,0,0,0,3
2564,04,Truck,4623,0,0,0,0,0,0,1362,5985
2564,04,Three Wheeler,9,0,0,0,0,0,0,0,9
2564,04,Passenger Car and Pickup Truck,61199,2732,576,3308,125,3433,0,0,64632
2564,05,Three Wheeler,7,0,0,0,1,1,0,0,8
2564,05,Truck,5181,0,0,0,0,0,0,1335,6516
2564,05,Mini MPV,0,0,0,0,0,0,0,0,0
2564,05,Bus,212,0,0,0,0,0,0,0,212
2564,05,Passenger Car and Pickup Truck,70268,3041,704,3745,155,3900,0,0,74168
2564,06,Bus,326,0,0,0,3,3,0,0,329
2564,06,Mini MPV,3,0,0,0,0,0,0,0,3
2564,06,Passenger Car and Pickup Truck,64776,2737,680,3417,165,3582,0,0,68358
2564,06,Three Wheeler,9,0,0,0,1,1,0,0,10
2564,06,Truck,5158,0,0,0,0,0,0,1312,6470
2564,07,Bus,271,0,0,0,1,1,0,0,272
2564,07,Truck,4813,0,0,0,0,0,0,1435,6248
2564,07,Three Wheeler,4,0,0,0,1,1,0,0,5
2564,07,Passenger Car and Pickup Truck,46926,1815,309,2124,113,2237,0,0,49163
2564,07,Mini MPV,0,0,0,0,0,0,0,0,0
2564,08,Truck,4217,0,0,0,0,0,0,1321,5538
2564,08,Three Wheeler,2,0,0,0,5,5,0,0,7
2564,08,Mini MPV,1,0,0,0,0,0,0,0,1
2564,08,Bus,192,0,0,0,0,0,0,0,192
2564,08,Passenger Car and Pickup Truck,55635,2816,648,3464,220,3684,0,0,59319
2564,09,Bus,297,0,0,0,0,0,0,0,297
2564,09,Mini MPV,2,0,0,0,0,0,0,0,2
2564,09,Passenger Car and Pickup Truck,54601,2367,603,2970,256,3226,0,0,57827
2564,09,Three Wheeler,9,0,0,0,0,0,0,0,9
2564,09,Truck,4977,0,0,0,0,0,0,1268,6245
2564,10,Passenger Car and Pickup Truck,47288,2238,486,2724,151,2875,0,0,50163
