X,Y,Name,Dealership,Address,Latitude,Longitude,Provider,Power
99.774254,11.794793,โรงแรมประจวบสามอ่าว,Non-dealership,,11.794793,99.774254,MG,
100.7612459,18.75920978,โรงแรมดิอิมเพลส น่าน,Non-dealership,99 หมู่ 4 ถนนยันตรกิจโกศล ตำบลดู่ใต้ อำเภอเมืองน่าน จังหวัดน่าน 55000,18.75920978,100.7612459,MG,
101.015562,13.740348,ศูนย์เทคโนโลยีไมโครอิเล็กทรอนิกส์ (TMEC),Non-dealership,51/4 หมู่ 1 ตำบลวังตะเคียน อำเภอเมือง จังหวัดฉะเชิงเทรา 24000,13.740348,101.015562,MG,
100.604027,14.078291,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ (สวทช.),Non-dealership,111 อุทยานวิทยาศาสตร์ประเทศไทย ถนนพหลโยธิน ตำบลคลองหนึ่ง อำเภอคลองหลวง จังหวัดปทุมธานี 12120,14.078291,100.604027,MG,
100.526989,13.763949,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ (สวทช.) – โยธี,Non-dealership,73/1 ถนนพระรามที่ 6 แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพฯ 10400,13.763949,100.526989,MG,24 kW
98.39179,7.88623,ไลม์ไลท์อเวนิว,Non-dealership,2/23 ถนนดีบุก ตำบลตลาดใหญ่ อำเภอเมืองภูเก็ต จังหวัดภูเก็ต 83000,7.88623,98.39179,MG,60 kW
98.294715,7.890781,ดับเบิลทรี บาย ฮิลตัน ภูเก็ต บ้านไทยรีสอร์ต,Non-dealership,94 ถนนทวีวงศ์ ตำบลป่าตอง อำเภอกะทู้ จังหวัดภูเก็ต 83150,7.890781,98.294715,MG,
98.306877,8.095443,โรมแรมอะตอมภูเก็ต,Non-dealership,127 ม.1 ต.สาคู อ.ถลาง จ.ภูเก็ต 83110,8.095443,98.306877,MG,24 kW
102.123717,14.956455,ปฐพีทองโคราช (หัวทะเล),Non-dealership,1814 หมู่ 1 ตำบลหัวทะเล อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,14.956455,102.123717,MG,
101.1515885,13.01531043,"WHA ESIE, Plaza 1",Non-dealership,24/1 หมู่ที่ 4 ตำบลปลวกแดง อำเภอปลวกแดง จังหวัดระยอง 21140,13.01531043,101.1515885,MG,
101.2027063,13.00664656,"WHA ESIE, Plaza 2",Non-dealership,300/7 หมู่ที่ 1 ตำบลตาสิทธิ์ อำเภอปลวกแดง จังหวัดระยอง 21140,13.00664656,101.2027063,MG,
101.1849465,13.06903171,"WHA ESIE1, Plaza 3",Non-dealership,121 หมู่ที่ 3 ตำบลตาสิทธิ์ อำเภอปลวกแดง จังหวัดระยอง 21140,13.06903171,101.1849465,MG,
101.1649,13.13131344,"WHA ESIE2, WHA City Park",Non-dealership,475/5 หมู่ที่ 7 ตำบลคลองกิ่ว อำเภอบ้านบึง จังหวัดชลบุรี 20220,13.13131344,101.1649,MG,
100.8419205,14.36891414,"WHA SIL, Office",Non-dealership,"111 หมู่ 7, ถนนหนองปลากระดี่ อำเภอหนองแค จังหวัดสระบุรี 18140",14.36891414,100.8419205,MG,
100.63125,13.83518,BCP - คู่ขนานเอกมัย – รามอินทรา,Non-dealership,569 ถนนประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,13.83518,100.63125,MG,
100.40516,13.67093,BCP - กาญจนาภิเษก,Non-dealership,95/3 ถนนกาญจนาภิเษก แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,13.67093,100.40516,MG,
