X,Y,Name,description,Name_EN,Power,Code,Address,Latitude,Longitude,Provider
102.8048666,16.67157064,ปตท น้ำพอง,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT Nam Phong,120 kW,GWC-OR-1014,16 ม.12 ต.ม่วงหวาน อ.น้ำพอง ขอนแก่น 40140,16.67157064,102.8048666,PTT
100.1759209,13.78035797,ปตท บจ.มานะชัยบริการ,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Manachai Services,120 kW,GWC-OR-0053,30/7 ม.4 ถ.เพชรเกษม ต.ท่าตำหนัก อ.นครชัยศรี นครปฐม 73120,13.78035797,100.1759209,PTT
100.319,16.8175,ปตท พิษณุโลก,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Phitsanulok,120 kW,GWC-OR-0099,958 ม.7 ถ.พิษณุโลก-หล่มสัก ต.สมอแข อ.เมืองพิษณุโลก พิษณุโลก 65000,16.8175,100.319,PTT
99.797776,13.467366,ปตท ราชบุรี,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Ratchaburi,120 kW,GWC-OR-0076,218 ม.4 ต.อ่างทอง อ.เมืองราชบุรี ราชบุรี 70000,13.467366,99.797776,PTT
100.6017244,13.68625525,ปตท สวัสดิการสำนักงานปลัดกระทรวงกลาโหม(บางนาขาเข้า),"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Office of The Permanent Secretary for Defence (Bangna-In),120 kW,GWC-OR-0114,138 ซ.สุขุมวิท 64 แยก 10 แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร 10260,13.68625525,100.6017244,PTT
99.69586815,8.155013882,ปตท บจ.วี คอร์ป,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT V Corp,120 kW,GWC-OR-0104,9/1 ถ.บ้านในหวัง ต.ปากแพรก อ.ทุ่งสง นครศรีธรรมราช 80110,8.155013882,99.69586815,PTT
103.543234,14.878137,ปตท บจ.รุ่งเรืองชัย 2014,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)","PTT Rung Ruangchai Co., Ltd. 2014",120 kW,GWC-OR-0143,278 ม.7 ต.สลักได อ.เมืองสุรินทร์ สุรินทร์ 32000,14.878137,103.543234,PTT
102.091142912574,12.6657736446374,ปตท หจก.เกษมจันทบุรี แอล พี จี,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","LPG Auto Station, Kasem Chanthaburi LPG Part., Ltd",120 kW,GWC-OR-0180,90/200 หมู่ 1 ถนนสุขุมวิท ตำบลท่าช้าง อำเภอเมืองจันทบุรี จันทบุรี 22000,12.6657736446374,102.091142912574,PTT
102.081431115282,14.9798498253575,ปตท บจ.ธนพล เอ็นเนอจี,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT Thanaphon Energy Co., Ltd",120 kW,GWC-OR-0208,1202 ถนนมิตรภาพ ตำบลในเมือง อำเภอเมืองนครราชสีมา นครราชสีมา 30000,14.9798498253575,102.081431115282,PTT
104.271123,15.132956,ปตท หจก.ที.วี.เอส.ออยล์,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",PTT T.V.S. Oil,120 kW,GWC-OR-0214,239 หมู่ 7 ตำบลหนองไผ่ อำเภอเมืองศรีสะเกษ ศรีสะเกษ 33000,15.132956,104.271123,PTT
104.128509476929,15.8155060369867,ปตท บจ.เค ซี ยโสธร,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT KC Yasothon Co., Ltd",120 kW,GWC-OR-0220,225 หมู่ 1 ตำบลสำราญ อำเภอเมืองยโสธร ยโสธร 35000,15.8155060369867,104.128509476929,PTT
100.7565152,18.74737684,ปตท ดู่ใต้,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Du Tai,120 kW,GWC-OR-0098,110 ม.12 ถ.เจ้าฟ้า ต.ดู่ใต้ อ.เมืองน่าน น่าน 55000,18.74737684,100.7565152,PTT
99.49573143,16.47066389,ปตท ธรรมรัตน์ ปิโตรเลียม,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Thamrat Petroleum,120 kW,GWC-OR-0079,8/1 ม.13 ถ.พหลโยธิน ต.นครชุม อ.เมืองกำแพงเพชร กำแพงเพชร 62000,16.47066389,99.49573143,PTT
102.0567341,14.93134976,ปตท สวัสดิการกองบิน 1,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Sawatdekarnkongbin 1,120 kW,GWC-OR-0092,1 ม.1 ต.หนองไผ่ล้อม อ.เมืองนครราชสีมา นครราชสีมา 30000,14.93134976,102.0567341,PTT
104.3567346,14.68416968,ปตท ไพรบึง-โชคชัย,"ChargeCore NKR-ADC: CCS2, CHAdeMO, Type 2 (1000V 200A)",PTT Phrai Bueng - Chokchai,120 kW,GWC-OR-0110,189 ม.5 ต.สำโรงพลัน อ.ไพรบึง ศรีสะเกษ 33180,14.68416968,104.3567346,PTT
101.863726123899,14.372258015866,ปตท บจ.มุ่งป้ันดี,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)","PTT Mung Pan Dee Co., Ltd",120 kW,GWC-OR-0211,111 หมู่ 6 หมู่บ้านห้วยใหญ่ใต้ ถนนสาย 304 ตำบลไทยสามัคคี อำเภอวังน้ำเขียว นครราชสีมา 30370,14.372258015866,101.863726123899,PTT
